A,A2,법정동명,특수지구분코드,특수지구분명,지번,기준연도,기준월,A9,xcoord,ycoord
4413010100102400001,4413010100,천안시,1,일반, 대흥동 240-1,1996,1,1300000,212896.9737,467344.9423
4413010100102450003,4413010100,천안시,1,일반, 대흥동 245-3,1996,1,620000,212862.0309,467307.0669
4413010100102460003,4413010100,천안시,1,일반, 대흥동 246-3,1996,1,1000000,212823.1759,467232.9151
4413010100102470002,4413010100,천안시,1,일반, 대흥동 247-2,1996,1,500000,212832.9614,467282.0537
4413010100102480005,4413010100,천안시,1,일반, 대흥동 248-5,1996,1,1100000,212825.4203,467311.1882
4413010100102780001,4413010100,천안시,1,일반, 대흥동 278-1,1996,1,1000000,좌표x,좌표x
4413010100102940005,4413010100,천안시,1,일반, 대흥동 294-5,1996,1,700000,212774.825,467253.6445
4413010100102990010,4413010100,천안시,1,일반, 대흥동 299-10,1996,1,3200000,212908.373,467752.612
4413010200100530001,4413010200,천안시,1,일반, 와촌동 53-1,1996,1,220000,212709.3754,468007.8422
4413010200100890010,4413010200,천안시,1,일반, 와촌동 89-10,1996,1,190000,좌표x,좌표x
4413010200101210012,4413010200,천안시,1,일반, 와촌동 121-12,1996,1,260000,좌표x,좌표x
4413010200101260028,4413010200,천안시,1,일반, 와촌동 126-28,1996,1,250000,좌표x,좌표x
4413010200101260034,4413010200,천안시,1,일반, 와촌동 126-34,1996,1,240000,212541.5517,467446.3226
4413010200101330012,4413010200,천안시,1,일반, 와촌동 133-12,1996,1,270000,212654.9336,467319.8417
4413010200101360003,4413010200,천안시,1,일반, 와촌동 136-3,1996,1,230000,212744.3749,467369.4906
4413010200101510018,4413010200,천안시,1,일반, 와촌동 151-18,1996,1,230000,212690.2817,467288.7296
4413010200101550000,4413010200,천안시,1,일반, 와촌동 155,1996,1,490000,212664.3872,467209.0478
4413010200101600007,4413010200,천안시,1,일반, 와촌동 160-7,1996,1,600000,212570.5393,467184.4136
4413010200101620014,4413010200,천안시,1,일반, 와촌동 162-14,1996,1,280000,212554.9867,467292.2743
4413010200101660055,4413010200,천안시,1,일반, 와촌동 166-55,1996,1,400000,212439.0015,467647.6236
4413010200101660076,4413010200,천안시,1,일반, 와촌동 166-76,1996,1,550000,좌표x,좌표x
4413010300100020083,4413010300,천안시,1,일반, 성황동 2-83,1996,1,300000,213592.9136,468267.6172
4413010300100020154,4413010300,천안시,1,일반, 성황동 2-154,1996,1,280000,213586.7664,468371.3926
4413010300100050036,4413010300,천안시,1,일반, 성황동 5-36,1996,1,1000000,213382.3598,468427.4383
4413010300100080008,4413010300,천안시,1,일반, 성황동 8-8,1996,1,250000,213271.0218,468639.2566
4413010300100080026,4413010300,천안시,1,일반, 성황동 8-26,1996,1,270000,213360.2029,468606.8515
4413010300100100011,4413010300,천안시,1,일반, 성황동 10-11,1996,1,1250000,213208.1952,468662.7995
4413010300100110011,4413010300,천안시,1,일반, 성황동 11-11,1996,1,1280000,213147.4388,468618.7146
4413010300100120062,4413010300,천안시,1,일반, 성황동 12-62,1996,1,330000,213087.7632,468601.0599
4413010300100170003,4413010300,천안시,1,일반, 성황동 17-3,1996,1,640000,212969.8089,468317.025
4413010300100200019,4413010300,천안시,1,일반, 성황동 20-19,1996,1,450000,213017.0636,468470.4289
4413010300100220004,4413010300,천안시,1,일반, 성황동 22-4,1996,1,340000,213048.4843,468489.0526
4413010300100230003,4413010300,천안시,1,일반, 성황동 23-3,1996,1,1350000,213122.035,468546.4017
4413010300100340016,4413010300,천안시,1,일반, 성황동 34-16,1996,1,780000,213240.4239,468435.7549
4413010300100350011,4413010300,천안시,1,일반, 성황동 35-11,1996,1,730000,213370.3407,468279.2152
4413010300100400009,4413010300,천안시,1,일반, 성황동 40-9,1996,1,250000,213217.4311,468393.5883
4413010300100470003,4413010300,천안시,1,일반, 성황동 47-3,1996,1,1500000,213103.3203,468359.4213
4413010300100500006,4413010300,천안시,1,일반, 성황동 50-6,1996,1,1500000,213084.8556,468434.0556
4413010300100590005,4413010300,천안시,1,일반, 성황동 59-5,1996,1,720000,좌표x,좌표x
